Arbol,Altura,DAP,LtNG,LtNM,LtNS,LngOG,LngOM,LngOS,Especie,Acronimo,Crecimiento,Rep,Trep,Orientaci_n,Cobertura
76,15.1,18,19,29,17.9,97,2,25.8,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Norte,84
76,15.1,18,19,29,17.9,97,2,25.8,Ocellularia landronii,OcLa,Cos,Sex,Apot,Sur,92
76,15.1,18,19,29,17.9,97,2,25.8,Parmotrema sp. ,PaSp,Fol,NaN,NaN,Sur,4
77,18,29,19,29,19,97,2,26.8,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Sur,4
77,18,29,19,29,19,97,2,26.8,Herpothallon sp.,HeSp,Cos,Asex,Isid,Sur,8
85,22,26,19,29,19,97,2,26.8,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Oeste,4
85,22,26,19,29,19,97,2,26.8,Parmotrema peralbidum,PaPer,Fol,Sex,Apot,Oeste,4
85,22,26,19,29,19,97,2,26.8,Usnea cf. brasiliensis,UsBra,Frut,Asex,Sor,Este,4
88,20,27,19,29,19,97,2,26.8,Herpothallon philippinum,HePhi,Cos,Asex,Isid,Sur,16
88,20,27,19,29,19,97,2,26.8,Herpothallon roseocintum,HeRos,Cos,Asex,Isid,Sur,28
88,20,27,19,29,19,97,2,26.8,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Sur,16
88,20,27,19,29,19,97,2,26.8,Hypotrachyna cf. pulvinata,HyPul,Fol,Sex,Apot,Sur,12
88,20,27,19,29,19,97,2,26.8,Hypotrachyna sp. ,HySp,Fol,NaN,NaN,Sur,8
88,20,27,19,29,19,97,2,26.8,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Norte,20
89,22,24,19,29,19,97,2,26.8,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,Este,4
89,22,24,19,29,19,97,2,26.8,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Este,4
89,22,24,19,29,19,97,2,26.8,Hypotrachyna cf. punoensis,HyPun,Fol,Asex,Sor,Este,80
89,22,24,19,29,19,97,2,26.8,Hypotrachyna sp. ,HySp,Fol,NaN,NaN,Oeste,104
89,22,24,19,29,19,97,2,26.8,Ocellularia landronii,OcLa,Cos,Sex,Apot,Oeste,36
89,22,24,19,29,19,97,2,26.8,Parmotrema subisidiosum,PaSub,Fol,Asex,Isid,Este,16
89,22,24,19,29,19,97,2,26.8,Phyllopsora sp.,PhlSp,Cos,NaN,NaN,Este,68
89,22,24,19,29,19,97,2,26.8,Polyblastidium japonicum,PolJa,Fol,Asex,Sor,Este,4
90,20,25,19,29,19,97,2,26.8,Brigantiaea leucoxantha,BrLeu,Cos,Sex,Apot,Noroeste,16
90,20,25,19,29,19,97,2,26.8,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,Sureste,36
90,20,25,19,29,19,97,2,26.8,Herpothallon roseocintum,HeRos,Cos,Asex,Isid,Sureste,16
90,20,25,19,29,19,97,2,26.8,Hypotrachyna cf. punoensis,HyPun,Fol,Asex,Sor,Sureste,12
90,20,25,19,29,19,97,2,26.8,Parmotrema reticulatum,PaRet,Fol,Asex,Sor,Sureste,64
90,20,25,19,29,19,97,2,26.8,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Sureste,24
98,10,33,19,29,19.4,97,2,27.4,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Oeste,32
98,10,33,19,29,19.4,97,2,27.4,Ocellularia subcarassensis,OcSbc,Cos,Sex,Apot,Oeste,100
98,10,33,19,29,19.4,97,2,27.4,Parmotrema cf. subarnoldii,PaSba,Fol,Asex,Sor,Oeste,108
98,10,33,19,29,19.4,97,2,27.4,Remototrachyna aff. costaricensis,ReCst,Fol,Asex,Isid,Este,180
98,10,33,19,29,19.4,97,2,27.4,Syncesia farinacea,SyFa,Cos,Sex,Apot,Este,168
98,10,33,19,29,19.4,97,2,27.4,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Este,68
100,15,39,19,29,19.4,97,2,27.4,Herpothallon philippinum,HePhi,Cos,Asex,Isid,Este,104
112,11,10,19,29,19.4,97,2,27.4,Herpothallon philippinum,HePhi,Cos,Asex,Isid,Norte,4
112,11,10,19,29,19.4,97,2,27.4,Leptogium cyanescens,LeCya,Fol,Asex,Isid,Norte,48
112,11,10,19,29,19.4,97,2,27.4,Sticta beauvoisii,StBea,Fol,Asex,Isid,Norte,28
114,2.5,2,19,29,19.4,97,2,27.4,Malmidea vinosa,MaVin,Cos,Sex,Apot,Norte,20
114,2.5,2,19,29,19.4,97,2,27.4,Parmotrema sp. ,PaSp,Fol,NaN,NaN,Norte,148
117,18,31,19,29,19.7,97,2,30.2,Herpothallon roseocintum,HeRos,Cos,Asex,Isid,Norte,60
117,18,31,19,29,19.7,97,2,30.2,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Norte,64
118,5.5,10,19,29,19.7,97,2,30.2,Folioso sp,FoSp,Fol,NaN,NaN,Norte,8
118,5.5,10,19,29,19.7,97,2,30.2,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Norte,8
118,5.5,10,19,29,19.7,97,2,30.2,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Norte,24
