Arbol,Altura,DAP,Latitud NG,Latitud NM,Latitud NS,Longitud OG,Longitud OM,Longitud OS,Especie,Acro,Crecimiento,Rep,Tip Rep,Orientacion,Cobertura,
17,16,49,19,29,13.1,97,2,20.7,Parmeliella sp.,ParSp,Fol,NaN,NaN,Suroeste,4,
17,16,49,19,29,13.1,97,2,20.7,Parmotrema cf. subarnoldii,PaSba,Fol,Asex,Sor,Suroeste,124,
17,16,49,19,29,13.1,97,2,20.7,Parmotrema reticulatum,PaRet,Fol,Asex,Sor,Noreste,28,
17,16,49,19,29,13.1,97,2,20.7,Usnea cf. subfloridana,UsSub,Fol,Asex,Sor,Noreste,108,
18,7.5,7,19,29,13.1,97,2,20.7,Folioso sp,FoSp,Fol,,,NaN,NaN,
18,7.5,7,19,29,13.1,97,2,20.7,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,NaN,NaN,
18,7.5,7,19,29,13.1,97,2,20.7,Malmidea vinosa,MaVin,Cos,Sex,Apot,NaN,NaN,
18,7.5,7,19,29,13.1,97,2,20.7,Ocellularia landronii,OcLa,Cos,Sex,Apot,NaN,NaN,
18,7.5,7,19,29,13.1,97,2,20.7,Parmotrema peralbidum,PaPer,Fol,Sex,Apot,NaN,NaN,
18,7.5,7,19,29,13.1,97,2,20.7,Parmotrema reticulatum,PaRet,Fol,Asex,Sor,NaN,NaN,
19,11,44,19,29,13.1,97,2,20.7,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Suroeste,4.8,
20,15,28,19,29,14.8,97,2,22.4,Graphis rimulosa,GrRim,Cos,Sex,Lirel,Sureste,10,
20,15,28,19,29,14.8,97,2,22.4,Hypotrachyna sp. ,HySp,Fol,NaN,NaN,Sureste,4,
20,15,28,19,29,14.8,97,2,22.4,Hypotrachyna sp. isidiada,HySpI,Fol,Asex,Isid,Noroeste,26,
20,15,28,19,29,14.8,97,2,22.4,Parmotrema cf. subarnoldii,PaSba,Fol,Asex,Sor,NaN,NaN,
20,15,28,19,29,14.8,97,2,22.4,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Noroeste,148,
20,15,28,19,29,14.8,97,2,22.4,Pertusaria cf. tetrathalamia,PeTet,Cos,Sex,Apot,Sureste,10,
20,15,28,19,29,14.8,97,2,22.4,Thelotrema lepadium,ThLep,Cos,Sex,Apot,Noroeste,8,
20,15,28,19,29,14.8,97,2,22.4,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Sureste,20,
20,15,28,19,29,14.8,97,2,22.4,Usnea cf. subfloridana,UsSub,Frut,Asex,Sor,Noroeste,12,
20,15,28,19,29,14.8,97,2,22.4,Usnea sp.,UsSp,Frut,NaN,NaN,Noroeste,4,
21,4,8,19,29,14.8,97,2,22.4,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,NaN,NaN,
21,4,8,19,29,14.8,97,2,22.4,Hypotrachyna sp. ,HySp,Fol,NaN,NaN,NaN,NaN,
21,4,8,19,29,14.8,97,2,22.4,Leptogium azureum,LeAzu,Fol,Sex,Apot,NaN,NaN,
21,4,8,19,29,14.8,97,2,22.4,Parmotrema cf. latissimum,PaLat,Fol,Sex,Apot,NaN,NaN,
21,4,8,19,29,14.8,97,2,22.4,Parmotrema flavescens,PaFla,Fol,Asex,Isid,NaN,NaN,
21,4,8,19,29,14.8,97,2,22.4,Parmotrema reticulatum,PaRet,Fol,Asex,Sor,NaN,NaN,
